poi_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
28,24.312055,23.939498,24.584993,35.074267,25.264788,18.037979,31.788034,32.263446,24.072509,63.224827,20.299546,31.648426,14.827583,13.641507,19.290578,46.819231,16.581259,37.893314,67.377779,22.943809,22.122397,3.435217,14.161155,1.577606,7.671309,12.724184,12.167100,0.000000,20.374314,17.271967,43.056392,3.022244,26.697956,27.954772,22.130916,21.432701,25.785087,19.997806,4.359379,20.050082,16.478345,21.253216,62.014334,7.886050,13.421023,32.431289,7.409749,35.304820,18.864536,125.772198
29,9.501504,8.173336,6.483322,15.000762,7.607351,7.875015,11.416760,12.121693,7.468488,69.723434,9.567554,12.166151,27.573053,14.958871,27.393199,30.962145,4.305110,19.617150,79.239117,5.028598,4.092044,21.472289,28.034642,19.304696,15.618809,22.774917,22.900366,20.374314,0.000000,17.610589,47.851454,23.152102,6.845340,7.581138,2.672583,3.288146,10.952853,29.711036,16.135323,2.466365,22.996884,2.467280,64.086543,24.285375,26.562919,12.161998,17.135351,15.313092,35.745290,126.663945
30,13.496473,14.187271,16.598868,30.812937,16.457227,9.883059,26.247298,24.884299,24.885093,52.452113,24.815367,22.868041,12.977040,4.188600,10.345484,48.546383,17.291079,26.182459,61.726749,15.825429,15.739713,15.244516,14.090170,17.633098,19.811631,28.103938,27.765930,17.271967,17.610589,0.000000,30.715357,18.050769,23.890850,22.870851,17.106559,15.747888,14.148022,35.990420,14.397606,15.421077,30.767594,19.961490,76.300444,14.353288,12.645803,27.682459,20.923326,26.926177,22.333116,111.653479
31,40.865813,42.108708,44.936573,58.794525,44.305655,39.984345,54.084336,51.689425,55.295630,21.889937,55.529924,48.974650,28.663117,34.453684,23.826037,78.207872,47.995316,47.990456,35.747599,44.835541,45.108580,39.723271,29.749958,44.211104,48.639207,55.730633,55.202626,43.056392,47.851454,30.715357,0.000000,41.844133,53.400947,51.513251,46.749994,45.394637,40.502065,62.992523,42.417902,45.472087,59.232625,50.294634,105.040159,35.737061,29.989048,55.784022,49.305159,52.452292,31.234355,82.794140
32,26.457608,26.197975,27.046217,37.953773,27.661237,20.204857,34.566278,34.910898,27.068762,61.547475,23.319511,34.163735,13.240545,14.853433,18.366336,49.828880,19.471339,40.153063,64.968183,25.442565,24.663905,2.807755,12.345450,4.531559,10.589266,14.524996,13.898474,3.022244,23.152102,18.050769,41.844133,0.000000,29.581355,30.719042,24.788180,24.014350,27.868590,21.225018,7.016823,22.675663,18.508350,24.138735,63.503535,6.118386,11.876172,35.264732,10.151234,37.899183,16.148821,124.637113
33,12.913851,11.541848,8.754922,8.376329,9.661336,14.010469,5.894606,8.180591,5.294330,75.283710,10.552655,9.818975,34.390428,21.619802,33.946615,24.841799,10.116752,17.628910,85.616123,8.573467,8.320501,28.089192,34.872910,25.495216,21.000102,26.888563,27.161027,26.697956,6.845340,23.890850,53.400947,29.581355,0.000000,3.425188,6.794580,8.163753,13.798549,32.885745,22.604077,8.558265,26.132221,5.444873,63.146073,31.075491,33.396862,5.921920,22.404659,11.305882,42.584845,130.526066
34,10.661592,9.406528,6.590401,7.993404,7.232298,13.202308,3.857915,5.053314,8.631863,73.347835,13.653108,6.402971,34.202317,21.149907,33.142874,26.782406,11.640057,14.243349,84.402193,7.047823,7.203908,28.971146,34.820045,26.880850,22.933887,29.434039,29.652339,27.954772,7.581138,22.870851,51.513251,30.719042,3.425188,0.000000,6.244695,7.422157,11.254198,35.763636,23.703165,8.373787,28.988220,7.264519,66.565319,31.563044,33.314785,4.901414,24.408591,8.297823,42.769621,127.708757
35,7.182862,5.793339,3.824337,14.163215,4.957940,7.238914,10.052117,10.132785,9.129525,68.639880,12.053978,9.782204,28.005309,15.024516,27.225791,31.592436,6.802697,17.041393,78.826627,2.508586,1.760889,22.902614,28.595662,21.175781,17.935740,25.330653,25.432502,22.130916,2.672583,17.106559,46.749994,24.788180,6.794580,6.244695,0.000000,1.371788,8.520749,32.349562,17.806888,2.152511,25.648770,4.539746,66.549473,25.349787,27.094306,11.123869,19.472003,13.204278,36.525527,124.803325
36,6.215479,4.886924,3.554913,15.395011,4.587483,5.895116,11.158946,10.933639,10.326995,67.284544,12.855637,10.247999,26.780495,13.749128,25.892842,32.963502,6.886100,17.156465,77.462975,1.889290,0.883763,22.033314,27.402226,20.549819,17.663905,25.320198,25.384275,21.432701,3.288146,15.747888,45.394637,24.014350,8.163753,7.422157,1.371788,0.000000,7.669022,32.505865,17.083172,1.500094,25.860186,5.535602,67.374539,24.321056,25.895379,12.322731,19.210960,13.885554,35.384276,123.612112
37,1.626178,2.784588,5.115062,18.297741,4.137275,7.763916,13.583298,11.391956,17.464055,62.260978,20.514016,8.970277,26.937080,14.304541,24.300584,38.008374,14.204012,12.500935,74.151511,6.012169,6.871510,25.423056,27.905854,25.279502,23.803864,32.005163,31.974387,25.785087,10.952853,14.148022,40.502065,27.868590,13.798549,11.254198,8.520749,7.669022,0.000000,39.506632,21.540001,8.849104,33.009752,13.059832,75.034284,26.500821,26.402536,15.284672,25.334618,12.941854,36.185594,116.745738
